id   Names        X       Y       RA      DEC         V    BV  Prob 
  115  1-58        -12.52  116.32  19:53:45.22  18:48:38.3   14.88  1.23  96
  116  KC-116      -47.88  121.84  19:53:42.73  18:48:43.8   15.45  1.13  42
  117  KC-117      -57.82  161.04  19:53:42.03  18:49:23.0   14.47  1.56   0
  118  KC-118      -78.55  145.81  19:53:40.57  18:49:07.8   14.55  1.14  97
  119  KC-119      -92.00  134.92  19:53:39.62  18:48:56.9   14.52  1.11  96
  120  1-60        -63.31  120.42  19:53:41.63  18:48:42.4   14.41  1.16  96
  121  1-59        -61.26  116.41  19:53:41.78  18:48:38.4   14.63  1.30  95
  122  1-61        -75.12  121.13  19:53:40.81  18:48:43.1   14.58  1.12  93
  123  1-62        -77.92  106.37  19:53:40.60  18:48:28.3   14.49  1.12  94
  124  KC-124     -123.91  104.27  19:53:37.37  18:48:26.2   14.53  0.91   0
  125  KC-125     -139.96   79.58  19:53:36.24  18:48:01.5   15.32  1.12  55
  126  KC-126     -144.26   74.48  19:53:35.94  18:47:56.4   14.71  1.20  97
  127  KC-127     -143.85   52.97  19:53:35.96  18:47:34.9   14.44  1.07  96
  128  KC-128     -111.64   43.17  19:53:38.23  18:47:25.1   15.19  1.37   0
  129  KC-129     -137.99   19.77  19:53:36.38  18:47:01.7   14.89  1.07   0
  130  KC-130     -167.78   13.04  19:53:34.29  18:46:55.0   15.01  1.28  96
  131  KC-131     -131.61    4.71  19:53:36.83  18:46:46.7   15.36  1.10  82
  132  1-109      -106.85  -11.55  19:53:38.57  18:46:30.4   14.87  1.24  96
  133  1-110      -118.60  -16.04  19:53:37.75  18:46:25.9   14.93  1.26  87
  134  KC-134     -128.93  -23.02  19:53:37.02  18:46:18.9   15.19  0.74   0
  135  1-111      -137.54  -33.89  19:53:36.41  18:46:08.1   14.89  1.32  92
  136  KC-136     -154.71  -45.74  19:53:35.21  18:45:56.2   14.80  1.22  95
  137  KC-137     -112.95  -24.36  19:53:38.15  18:46:17.6   15.91  0.72  83
  138  KC-138     -109.67  -39.42  19:53:38.37  18:46:02.5   15.14  1.19  64
  139  KC-139     -117.24  -53.57  19:53:37.84  18:45:48.4   15.56  1.05   0
  140  KC-140     -140.72  -53.28  19:53:36.19  18:45:48.7   15.18  1.58   0
  141  KC-141     -136.62  -70.19  19:53:36.48  18:45:31.8   15.34  1.23  96
  142  KC-142     -128.24  -72.25  19:53:37.07  18:45:29.7   15.20  1.35   0
  143  KC-143     -117.17 -109.26  19:53:37.85  18:44:52.7   15.55  1.20   0
  144  KC-144     -107.32 -111.47  19:53:38.54  18:44:50.5   14.64  1.16  96
  145  Z           -75.35  -77.02  19:53:40.80  18:45:24.9   14.71  0.62   0
  146  1-89        -42.47  -92.28  19:53:43.10  18:45:09.7   14.37  1.05  96
  147  KC-147      -41.42  -95.25  19:53:43.18  18:45:06.7   15.00  1.14  94
  148  1-90        -47.53 -101.52  19:53:42.75  18:45:00.4   14.70  1.09  94
  149  1-91        -66.79 -117.59  19:53:41.39  18:44:44.4   14.87  1.27   0
  150  KC-150      -74.58 -120.07  19:53:40.85  18:44:41.9   15.59  0.59   0
  152  KC-152      -88.12 -139.09  19:53:39.90  18:44:22.9   15.03  1.26  93
  153  X           -71.13 -150.75  19:53:41.09  18:44:11.2   14.40  1.07  96
  154  KC-154      -22.37 -176.49  19:53:44.52  18:43:45.5   15.14  1.37   0
  155  KC-155      -15.97 -176.77  19:53:44.97  18:43:45.2   14.89  1.16  96
  156  KC-156       -3.90 -178.42  19:53:45.82  18:43:43.5   14.81  1.23  86
  157  A8            8.66 -183.41  19:53:46.71  18:43:38.6   15.45  0.72   0
  158  O           -29.49 -107.47  19:53:44.02  18:44:54.5   15.48  1.02  93
  159  1-3           8.96 -101.42  19:53:46.73  18:45:00.5   14.38  1.20  96
  160  K             8.30 -119.65  19:53:46.68  18:44:42.3   14.83  1.21  89
  161  F            24.63 -117.28  19:53:47.83  18:44:44.7   15.73  0.76   0
  162  C            34.71 -112.85  19:53:48.54  18:44:49.1   14.49  1.16  96
  163  L            41.24 -117.94  19:53:49.00  18:44:44.0   14.41  1.03  97
  164  M            47.57 -121.70  19:53:49.45  18:44:40.3   15.64  1.04  84
  165  A10          42.15 -154.61  19:53:49.06  18:44:07.3   15.91  0.64   0
  166  KC-166       76.95 -151.88  19:53:51.51  18:44:10.1   14.40  1.67   0
  167  1-2          75.87  -76.61  19:53:51.44  18:45:25.3   14.79  1.23  65
  168  KC-168       93.97 -105.33  19:53:52.72  18:44:56.6   15.08  1.24  49
  169  KC-169      122.76 -104.23  19:53:54.73  18:44:57.7   14.30  1.08  96
  170  KC-170      143.54  -75.37  19:53:56.20  18:45:26.6   15.57  1.14  95
  171  A2          114.93  -69.27  19:53:54.19  18:45:32.7   14.53  1.20  96
  172  1-12         85.90  -54.04  19:53:52.15  18:45:47.9   14.96  1.13  79
  173  KC-173       97.14  -43.79  19:53:52.94  18:45:58.2   15.43  0.84   0
  174  A3          107.89  -37.97  19:53:53.70  18:46:04.0   14.43  1.04  96
  175  1-15        131.49  -44.44  19:53:55.35  18:45:57.5   14.40  1.15  97
  176  KC-176      151.43  -62.02  19:53:56.76  18:45:39.9   14.47  1.30  95
  177  KC-177      152.08  -46.14  19:53:56.81  18:45:55.8   14.40  1.09  88
  178  KC-178      151.29  -22.01  19:53:56.75  18:46:19.9   15.76  1.05  56
  179  1-24        131.85   -8.33  19:53:55.38  18:46:33.6   15.01  1.12   0
  180  KC-180      123.50  -17.37  19:53:54.79  18:46:24.6   15.67  0.86   0
  181  1-23        103.93  -13.27  19:53:53.42  18:46:28.7   15.03  1.22  71
  182  KC-182      111.82   -6.45  19:53:53.97  18:46:35.5   15.72  1.12  96
  183  KC-183      131.63    4.97  19:53:55.37  18:46:46.9   15.57  1.14  96
  184  KC-184      127.70   12.68  19:53:55.09  18:46:54.6   15.26  1.30   0
  185  1-25        133.29   17.71  19:53:55.48  18:46:59.7   14.47  1.08  92
  186  KC-186      155.16   13.66  19:53:57.02  18:46:55.6   15.35  0.69  68
  187  KC-187      161.63   47.64  19:53:57.48  18:47:29.6   14.67  1.48   0
  188  KC-188      153.43   38.76  19:53:56.90  18:47:20.7   15.19  0.81  25
  189  1-26        147.96   29.93  19:53:56.52  18:47:11.9   14.33  1.44   0
  190  1-28        131.31   42.74  19:53:55.34  18:47:24.7   14.79  1.21  94
  191  KC-191      135.93   69.03  19:53:55.67  18:47:51.0   15.01  1.20  93
  192  1-47        133.92   77.25  19:53:55.52  18:47:59.2   14.34  1.42   0
  193  1-48        134.99   86.38  19:53:55.61  18:48:08.3   14.39  1.07  96
  194  KC-194      108.00   73.41  19:53:53.70  18:47:55.4   15.50  1.23  57
  195  KC-195      106.94   67.74  19:53:53.63  18:47:49.7   15.29  1.56   0
  196  KC-196       95.59   55.66  19:53:52.83  18:47:37.6   15.60  1.17  80
  197  KC-197       84.73   86.82  19:53:52.06  18:48:08.8   15.28  1.04  87
  198  KC-198       62.73   97.77  19:53:50.52  18:48:19.7   15.35  1.41   0
  199  KC-199       69.21  106.64  19:53:50.97  18:48:28.6   15.47  1.12  77
  200  KC-200       70.64  102.71  19:53:51.08  18:48:24.7   15.53  1.30  94
  201  1-50        108.25  119.98  19:53:53.73  18:48:41.9   14.46  1.10  95
  202  KC-202       64.95  125.70  19:53:50.68  18:48:47.7   15.17  1.12  96
  203  KC-203       52.48  113.76  19:53:49.79  18:48:35.7   15.77  0.91   0
  204  KC-204       59.01  132.35  19:53:50.25  18:48:54.3   15.91  0.89   0
  205  1-54         32.48  122.98  19:53:48.38  18:48:44.9   14.49  1.03  96
  211  KC-211       26.57   73.77  19:53:47.96  18:47:55.7   16.08  0.59  55
  212  KC-212       16.03   84.33  19:53:47.22  18:48:06.3   15.68  1.05   0
  213  1-57          6.28   83.27  19:53:46.54  18:48:05.2   14.45  1.17  96
  214  KC-214       -9.73   64.96  19:53:45.42  18:47:46.9   15.45  0.57  57
  215  KC-215      -40.50   72.59  19:53:43.25  18:47:54.6   15.30  0.97  93
  216  KC-216      -47.42   56.73  19:53:42.76  18:47:38.7   15.95  1.19  64
  217  1-75        -64.29   60.99  19:53:41.57  18:47:42.9   14.85  1.29  96
  219  KC-219      -44.97   27.76  19:53:42.93  18:47:09.7   15.52  0.69   0
  220  1-73        -50.57   26.38  19:53:42.53  18:47:08.3   14.79  1.20  96
  221  1-72        -54.29   14.36  19:53:42.28  18:46:56.3   14.78  1.29  96
  222  KC-222      -50.65    0.67  19:53:42.53  18:46:42.6   14.99  1.23  93
  223  KC-223      -83.84    0.74  19:53:40.20  18:46:42.7   15.54  0.96   0
  224  KC-224      -89.48  -20.89  19:53:39.79  18:46:21.1   15.13  0.63   0
  225  1-94        -74.12  -40.45  19:53:40.88  18:46:01.5   14.51  0.96  95
  226  KC-226      -60.19  -41.79  19:53:41.86  18:46:00.2   14.79  1.13  92
  227  KC-227      -59.28  -26.02  19:53:41.92  18:46:15.9   15.06  1.13  89
  228  KC-228      -51.14  -33.03  19:53:42.50  18:46:08.9   15.32  1.21   0
  229  1-93        -51.03  -59.40  19:53:42.51  18:45:42.6   14.75  1.20  91
  230  KC-230      -41.48  -39.08  19:53:43.18  18:46:02.9   15.41  0.88  77
  231  KC-231      -30.67  -44.30  19:53:43.94  18:45:57.7   14.99  1.09  93
  232  2-117       -20.64  -45.43  19:53:44.64  18:45:56.5   15.29  1.15  89
  233  KC-233      -15.09  -41.17  19:53:45.03  18:46:00.8   15.43  1.28  22
  234  KC-234      -10.83  -35.63  19:53:45.34  18:46:06.3   15.59  0.12  91
  235  2-160        -1.38  -55.85  19:53:45.99  18:45:46.1   15.01  1.19  95
  236  1-6,2-211    29.44  -77.69  19:53:48.17  18:45:24.3   14.75  1.05  94
  237  1-7          36.39  -74.34  19:53:48.66  18:45:27.6   14.65  1.12  95
  239  KC-239       21.86  -57.78  19:53:47.64  18:45:44.2   15.00  1.13  94
  240  2-255,V3     46.06  -58.75  19:53:49.34  18:45:43.2   15.10  0.46  81
  241  KC-241       43.65  -54.61  19:53:49.17  18:45:47.4   16.08  0.88   3
  242  KC-242       36.38  -44.05  19:53:48.66  18:45:57.9   15.97  0.45   0
  243  1-11,2-276   58.06  -49.44  19:53:50.18  18:45:52.5   14.81  1.19  92
  244  KC-244       74.32  -53.29  19:53:51.33  18:45:48.7   15.76  1.00  81
  245  KC-245       67.02  -48.83  19:53:50.81  18:45:53.1   15.77  0.85  24
  246  KC-246       72.97  -42.02  19:53:51.24  18:45:59.9   15.03  1.15  69
  247  2-283        68.00  -40.10  19:53:50.89  18:46:01.9   15.35  1.11  80
  248  KC-248       55.12  -10.06  19:53:49.98  18:46:31.9   15.91  0.72  81
  249  KC-249       84.67    8.56  19:53:52.06  18:46:50.5   14.97  1.25  42
  250  KC-250       55.09   12.26  19:53:49.98  18:46:54.2   15.19  1.25  86
  251  KC-251       41.90    4.17  19:53:49.05  18:46:46.1   15.28  1.16  93
  252  KC-252       33.44   25.77  19:53:48.45  18:47:07.7   15.38  0.69   0
  253  1-38         40.50   31.85  19:53:48.95  18:47:13.8   15.06  1.24  87
  254  KC-254       51.67   40.00  19:53:49.74  18:47:22.0   16.05  0.77  20
  255  KC-255       80.76   51.01  19:53:51.78  18:47:33.0   15.64  1.09  69
  256  1-40         26.51   37.43  19:53:47.96  18:47:19.4   14.69  1.21  86
  257  KC-257        9.42   39.97  19:53:46.76  18:47:21.9   15.43  1.47   0
  258  KC-258        9.12   35.70  19:53:46.74  18:47:17.7   15.78  1.15  51
  259  KC-259        2.18   23.91  19:53:46.25  18:47:05.9   15.25  1.20  21
  260  KC-260       -6.33   28.97  19:53:45.65  18:47:10.9   15.43  1.13  90
  261  1-70        -25.18   36.41  19:53:44.33  18:47:18.4   14.43  1.09  95
  262  1-69        -26.48   33.13  19:53:44.24  18:47:15.1   14.71  1.47  63
  263  KC-263      -20.13   25.28  19:53:44.68  18:47:07.2   15.05  1.15  96
  264  1-80        -26.72    6.82  19:53:44.22  18:46:48.8   14.45  1.08  94
  265  KC-265      -22.19    5.66  19:53:44.54  18:46:47.6   15.50  1.25  81
  266  KC-266      -14.66   -0.08  19:53:45.07  18:46:41.9   15.09  1.06  77
  267  KC-267      -13.77  -13.65  19:53:45.13  18:46:28.3   15.69  0.44  54
  268  KC-268       -3.73  -24.66  19:53:45.83  18:46:17.3   14.78  0.56  94
  270  KC-270        3.86  -23.02  19:53:46.36  18:46:18.9   15.44  0.88  91
  271  KC-271        8.23  -28.12  19:53:46.67  18:46:13.8   15.52  1.21  12
  272  KC-272        0.47   -3.76  19:53:46.13  18:46:38.2   14.53  1.33  69
  273  KC-273       26.24    2.23  19:53:47.95  18:46:44.2   15.42  0.99  94
  274  KC-274        4.63   10.10  19:53:46.43  18:46:52.1   15.21  1.15  96
  275  V4          267.02   42.83  19:54:04.90  18:47:24.7   14.29  0.81   0
  276  KC-276      278.07   55.76  19:54:05.67  18:47:37.7   14.55  1.37   0
  277  KC-277      296.09   33.43  19:54:06.95  18:47:15.3   13.92  0.89   0
  278  KC-278      280.29   29.46  19:54:05.83  18:47:11.4   13.97  0.93   0
  279  KC-279      273.34   22.14  19:54:05.34  18:47:04.0   14.40  1.07  56
  280  KC-280      280.80   19.97  19:54:05.87  18:47:01.9   14.47  0.77   0
  281  KC-281      291.80    6.03  19:54:06.64  18:46:47.9   15.03  0.36   0
  282  CF4         247.03   16.64  19:54:03.50  18:46:58.5   14.34  1.06  80
  288  KC-288      -21.05  147.06  19:53:44.61  18:49:09.0   16.24  0.66   0
  289  KC-289      -40.83  160.24  19:53:43.21  18:49:22.2   16.33  1.40   0
  290  KC-290      -51.55  142.41  19:53:42.46  18:49:04.4   16.49  1.10   0
  291  KC-291      -20.56  110.84  19:53:44.64  18:48:32.8   16.16  1.19   0
  292  KC-292      -42.74  101.69  19:53:43.09  18:48:23.6   16.24  1.23  45
  293  KC-293      -81.23  120.43  19:53:40.37  18:48:42.4   15.94  0.88   3
  294  KC-294      -95.75  121.47  19:53:39.35  18:48:43.4   15.53  1.58   0
  295  KC-295      -89.83  113.28  19:53:39.77  18:48:35.2   16.36  1.03   2
  296  KC-296     -110.48  130.14  19:53:38.32  18:48:52.1   16.16  1.03  28
  297  KC-297      -77.42   89.43  19:53:40.64  18:48:11.4   15.46  1.42   0
  298  KC-298     -105.19   60.80  19:53:38.69  18:47:42.7   16.15  1.22  12
  299  KC-299     -108.44   17.55  19:53:38.45  18:46:59.5   16.23  1.01  97
  300  KC-300     -106.47    6.41  19:53:38.61  18:46:48.4   16.11  1.12  35
  301  KC-301     -127.05  -14.11  19:53:37.15  18:46:27.8   15.71  1.01   0
  302  KC-302     -139.15  -22.10  19:53:36.30  18:46:19.9   15.62  1.23  96
  303  KC-303     -152.81  -19.90  19:53:35.34  18:46:22.0   16.01  0.81   0
  304  KC-304     -172.82  -22.15  19:53:33.92  18:46:19.8   15.34  1.63   0
  305  KC-305     -156.99  -34.47  19:53:35.04  18:46:07.5   16.08  0.85   0
  306  KC-306     -143.22  -59.33  19:53:36.01  18:45:42.6   16.28  1.06  95
  307  KC-307     -137.93  -81.80  19:53:36.39  18:45:20.1   16.46  1.45   0
  309  KC-309      -79.65  -89.61  19:53:40.49  18:45:12.4   15.86  0.74   0
  310  KC-310      -85.41 -104.71  19:53:40.08  18:44:57.2   15.65  1.19  96
  311  KC-311      -98.65 -126.22  19:53:39.15  18:44:35.7   15.47  1.61   0
