id   Names        X       Y       RA      DEC         V    BV  Prob 
 1317  -9999999    -59.95   70.16  19:53:41.87  18:47:52.1   18.36  0.90  94
 1318  -9999999    -66.85   94.60  19:53:41.39  18:48:16.6   18.01  0.79   0
 1319  -9999999    -51.26   83.93  19:53:42.48  18:48:05.9   18.98  0.92  89
 1320  -9999999    -50.62   90.34  19:53:42.53  18:48:12.3   17.31  1.19   0
 1321  -9999999    -56.14   96.26  19:53:42.14  18:48:18.2   18.69  0.83  93
 1322  -9999999    -51.76   97.93  19:53:42.45  18:48:19.9   17.34  0.97  91
 1323  -9999999    -45.90   91.18  19:53:42.86  18:48:13.1   19.42  0.77  27
 1324  -9999999    -43.99   92.58  19:53:43.01  18:48:14.5   19.70  0.74   0
 1325  -9999999    -37.01   92.87  19:53:43.49  18:48:14.8   17.70  0.81  89
 1327  -9999999     86.78   90.99  19:53:52.21  18:48:12.9   19.97  1.07  19
 1328  -9999999     90.04   93.36  19:53:52.44  18:48:15.3   19.30  0.79  78
 1329  -9999999     94.27   95.48  19:53:52.74  18:48:17.4   18.75  0.81  93
 1330  -9999999     90.84   85.08  19:53:52.50  18:48:07.0   19.45  1.06  82
 1336  -9999999     93.96   85.00  19:53:52.72  18:48:07.0   19.74  1.07  76
 1337  -9999999     94.39   87.52  19:53:52.74  18:48:09.5   18.79  0.75  93
 1338  -9999999     93.96   82.08  19:53:52.72  18:48:04.0   19.88  1.20  82
 1339  -9999999    100.25   84.52  19:53:53.16  18:48:06.5   19.47  0.94   6
 1340  -9999999    100.76   97.17  19:53:53.19  18:48:19.1   19.51  1.18  12
 1341  -9999999    106.91   97.15  19:53:53.62  18:48:19.1   18.08  0.79  96
 1342  -9999999    110.18   97.30  19:53:53.86  18:48:19.3   18.50  0.83  92
 1343  -9999999    111.73   94.08  19:53:53.97  18:48:16.0   17.76  0.78  97
 1344  -9999999    108.87   90.53  19:53:53.76  18:48:12.5   19.23  0.91  72
 1345  -9999999    111.74   88.54  19:53:53.97  18:48:10.5   17.71  0.79  97
 1346  -9999999    109.87   83.84  19:53:53.83  18:48:05.8   18.14  0.86  84
 1347  -9999999    102.69   77.56  19:53:53.33  18:47:59.5   19.57  0.83   0
 1348  -9999999    101.02   73.77  19:53:53.22  18:47:55.7   18.37  0.75  94
 1349  -9999999    115.33   90.70  19:53:54.22  18:48:12.6   19.15  0.84  94
 1350  -9999999    117.40   92.56  19:53:54.36  18:48:14.5   19.11  1.18   0
 1351  -9999999    121.89   90.70  19:53:54.69  18:48:12.6   18.61  1.07   0
 1352  -9999999    118.30   85.62  19:53:54.43  18:48:07.6   18.80  0.83  36
 1353  -9999999    127.35   85.12  19:53:55.06  18:48:07.1   18.58  0.84  98
 1354  -9999999    124.56   82.69  19:53:54.87  18:48:04.6   18.49  0.75  95
 1355  -9999999    120.12   77.25  19:53:54.56  18:47:59.2   17.94  0.80  97
 1356  -9999999    118.39   73.23  19:53:54.44  18:47:55.2   17.92  0.98   0
 1357  -9999999    122.42   73.73  19:53:54.72  18:47:55.7   18.72  0.81  93
 1358  -9999999    125.36   69.97  19:53:54.93  18:47:51.9   19.22  0.81   0
 1359  -9999999    127.60   68.01  19:53:55.09  18:47:50.0   18.96  0.89  74
 1360  -9999999    121.36   65.59  19:53:54.65  18:47:47.5   19.90  0.80  11
 1361  -9999999    117.99   62.24  19:53:54.41  18:47:44.2   19.73 -0.14   0
 1362  -9999999    127.19   63.27  19:53:55.05  18:47:45.2   18.52  0.82  95
 1363  -9999999    122.51   61.10  19:53:54.72  18:47:43.1   18.03  0.81  94
 1364  -9999999    121.69   57.74  19:53:54.67  18:47:39.7   18.80  0.94   0
 1365  -9999999    116.07   60.49  19:53:54.27  18:47:42.4   18.64  0.88  96
 1366  -9999999    110.70   56.35  19:53:53.90  18:47:38.3   18.74  0.83  95
 1367  -9999999    116.64   45.25  19:53:54.32  18:47:27.2   19.70  0.96  84
 1368  -9999999    120.27   46.80  19:53:54.56  18:47:28.8   18.97  0.84  87
 1369  -9999999    123.37   48.45  19:53:54.78  18:47:30.4   17.58  0.96  97
 1370  -9999999    130.81   55.28  19:53:55.31  18:47:37.2   18.13  0.86  89
 1371  -9999999    133.99   58.13  19:53:55.54  18:47:40.1   16.87  0.78   0
 1372  -9999999    142.21   64.95  19:53:56.12  18:47:46.9   18.40  0.90  77
 1373  -9999999    144.74   60.58  19:53:56.29  18:47:42.5   19.52  1.09  94
 1374  -9999999    148.20   60.38  19:53:56.53  18:47:42.3   18.77  0.82  92
 1375  -9999999    147.22   53.31  19:53:56.47  18:47:35.3   18.86  0.81  96
 1376  -9999999    132.18   49.93  19:53:55.41  18:47:31.9   17.57  0.89  89
 1377  -9999999    124.82   45.25  19:53:54.89  18:47:27.2   19.85  0.89  90
 1378  -9999999    117.32   38.87  19:53:54.36  18:47:20.8   17.57  0.89  97
 1379  -9999999    120.63   33.73  19:53:54.60  18:47:15.7   19.75  0.93   0
 1381  -9999999    129.91   33.63  19:53:55.24  18:47:15.6   18.71  0.82  84
 1382  -9999999    150.46   23.12  19:53:56.69  18:47:05.1   18.47  0.84  88
 1384  -9999999    143.61   15.40  19:53:56.20  18:46:57.3   18.79  0.83  51
 1385  -9999999    143.15   20.17  19:53:56.18  18:47:02.1   17.72  0.83  95
 1386  -9999999    147.09    7.67  19:53:56.46  18:46:49.6   19.04  0.97   0
 1387  -9999999    157.11    6.56  19:53:57.16  18:46:48.5   19.45  0.90  73
 1388  -9999999    155.65    1.69  19:53:57.06  18:46:43.6   19.76  1.00  70
 1389  -9999999    147.06    3.18  19:53:56.45  18:46:45.1   18.07  0.80  96
 1390  -9999999    140.59   -2.26  19:53:56.00  18:46:39.7   19.12  0.75   0
 1391  -9999999    139.06    5.71  19:53:55.89  18:46:47.7   18.08  0.90   0
 1392  -9999999    136.55    3.33  19:53:55.71  18:46:45.3   19.71  1.18   5
 1394  -9999999    131.80   -1.84  19:53:55.38  18:46:40.1   18.54  0.98   0
 1395  -9999999    124.82   -0.58  19:53:54.89  18:46:41.4   18.33  0.77  80
 1397  -9999999    128.85  -13.43  19:53:55.17  18:46:28.5   17.27  0.82  99
 1398  -9999999    128.82  -17.91  19:53:55.17  18:46:24.0   19.53  0.92   0
 1399  -9999999    143.53   -9.27  19:53:56.20  18:46:32.7   18.16  0.84  96
 1400  -9999999    146.31   -8.82  19:53:56.40  18:46:33.1   17.83  0.82  99
 1406  -9999999    150.24   -7.24  19:53:56.68  18:46:34.7   19.28  1.03   0
 1407  -9999999    153.98  -12.67  19:53:56.94  18:46:29.3   19.05  0.79  66
 1408  -9999999    145.13  -19.85  19:53:56.31  18:46:22.1   19.80  0.91  15
 1409  -9999999    148.21  -28.42  19:53:56.53  18:46:13.5   17.48  0.96  82
 1410  -9999999    151.39  -33.39  19:53:56.76  18:46:08.6   19.78  1.13  19
 1411  -9999999    144.40  -39.09  19:53:56.27  18:46:02.9   19.64  1.04  25
 1412  -9999999    143.99  -51.09  19:53:56.23  18:45:50.9   19.93  0.98  91
 1413  -9999999    137.43  -44.32  19:53:55.78  18:45:57.6   17.41  1.03  90
 1414  -9999999    130.88  -36.11  19:53:55.31  18:46:05.8   18.64  0.83  91
 1415  -9999999    119.77  -21.07  19:53:54.53  18:46:20.9   18.12  0.88  97
 1416  -9999999    116.34  -30.44  19:53:54.28  18:46:11.5   17.68  0.84  98
 1417  -9999999    113.63  -38.55  19:53:54.10  18:46:03.4   18.32  0.82  93
 1418  -9999999    116.30  -41.77  19:53:54.28  18:46:00.2   19.76  0.82   4
 1419  -9999999    124.84  -48.87  19:53:54.89  18:45:53.1   19.19  0.94  96
 1420  -9999999    128.36  -49.59  19:53:55.13  18:45:52.4   19.09  0.91   0
 1421  -9999999    130.83  -56.41  19:53:55.31  18:45:45.5   19.32  0.79  96
 1422  -9999999    122.45  -60.03  19:53:54.72  18:45:41.9   19.25  0.87  77
 1423  -9999999    115.90  -60.22  19:53:54.25  18:45:41.7   18.62  0.78  86
 1424  -9999999    115.37  -55.18  19:53:54.22  18:45:46.8   16.51  1.12  97
 1425  -9999999    113.63  -51.29  19:53:54.10  18:45:50.7   19.16  0.84  76
 1426  -9999999    111.56  -48.07  19:53:53.95  18:45:53.9   19.06  0.80  88
 1427  -9999999    108.14  -46.00  19:53:53.70  18:45:55.9   18.42  0.75  93
 1428  -9999999    103.33  -48.69  19:53:53.38  18:45:53.3   19.40  0.79  95
 1429  -9999999    103.36  -52.41  19:53:53.38  18:45:49.5   17.52  0.96  96
 1430  -9999999    108.07  -62.18  19:53:53.70  18:45:39.8   18.06  0.81  79
 1431  -9999999     96.07  -69.62  19:53:52.86  18:45:32.3   19.23  0.95  89
 1432  -9999999     99.96  -68.88  19:53:53.14  18:45:33.1   18.46  0.84  97
 1433  -9999999    104.59  -72.62  19:53:53.46  18:45:29.3   17.65  1.08  86
 1434  -9999999    106.08  -77.29  19:53:53.57  18:45:24.7   16.80  0.77  98
 1435  -9999999    110.40  -78.76  19:53:53.87  18:45:23.2   19.54  0.99  95
 1436  -9999999    124.61  -77.35  19:53:54.87  18:45:24.6   19.70  0.93  84
 1437  -9999999    129.59  -80.30  19:53:55.22  18:45:21.6   16.96  0.91   0
 1438  -9999999    125.42  -81.11  19:53:54.93  18:45:20.8   19.45  0.78  84
 1439  -9999999    117.91  -86.20  19:53:54.39  18:45:15.8   19.59  0.84   4
 1440  -9999999    114.84  -86.93  19:53:54.19  18:45:15.0   18.11  0.76  98
 1441  -9999999    107.65  -85.68  19:53:53.68  18:45:16.3   19.76  0.83   0
 1442  -9999999    104.08  -92.91  19:53:53.42  18:45:09.0   18.84  0.83  91
 1443  -9999999    102.79  -88.87  19:53:53.34  18:45:13.1   18.93  0.79  71
 1444  -9999999     96.86  -85.69  19:53:52.92  18:45:16.3   17.62  0.81  99
 1445  -9999999     96.86  -80.63  19:53:52.92  18:45:21.3   19.56  0.77   0
 1446  -9999999    101.54  -77.90  19:53:53.24  18:45:24.1   18.38  0.81  89
 1447  -9999999    100.69  -74.89  19:53:53.18  18:45:27.1   18.09  0.76  92
 1448  -9999999     90.46  -74.54  19:53:52.46  18:45:27.4   18.23  0.87  98
 1449  -9999999     87.26  -83.51  19:53:52.24  18:45:18.5   19.34  0.94  93
 1450  -9999999     92.44  -86.58  19:53:52.61  18:45:15.4   18.40  0.80  77
 1451  -9999999     84.96  -87.03  19:53:52.07  18:45:14.9   19.49  0.82   0
 1452  -9999999     83.15  -89.44  19:53:51.95  18:45:12.5   17.88  0.80  91
 1453  -9999999     96.39  -95.27  19:53:52.89  18:45:06.7   18.28  1.16   0
 1454  -9999999     97.92  -98.16  19:53:52.99  18:45:03.8   17.64  0.78  98
 1455  -9999999     86.08  -96.68  19:53:52.15  18:45:05.3   19.59  0.85  83
 1456  -9999999     81.56  -96.03  19:53:51.84  18:45:05.9   18.91  0.85  89
 1457  -9999999     78.72  -95.09  19:53:51.64  18:45:06.9   19.06  0.75   0
 1458  -9999999     75.44  -89.32  19:53:51.41  18:45:12.6   19.76  0.89  69
 1459  -9999999     71.03  -99.02  19:53:51.10  18:45:02.9   18.28  0.76  99
 1460  -9999999     79.99 -101.63  19:53:51.73  18:45:00.3   18.01  0.76  89
 1461  -9999999     73.74 -103.95  19:53:51.29  18:44:58.0   19.21  0.93  92
 1462  -9999999     70.19 -105.92  19:53:51.04  18:44:56.0   19.67  0.87  83
 1464  -9999999     62.69 -104.72  19:53:50.51  18:44:57.2   18.10  0.81  99
 1465  -9999999     63.32  -97.81  19:53:50.56  18:45:04.2   17.42  0.78   0
 1466  -9999999     60.38  -98.14  19:53:50.35  18:45:03.8   18.30  0.86   0
 1467  -9999999     63.20 -113.90  19:53:50.55  18:44:48.1   18.98  0.96   0
 1468  -9999999     66.50 -114.92  19:53:50.78  18:44:47.0   19.39  0.95  46
 1469  -9999999     70.15 -113.26  19:53:51.03  18:44:48.7   18.98  0.82  92
 1470  -9999999     78.50 -111.91  19:53:51.62  18:44:50.1   18.26  0.85  97
 1476  -9999999     77.28 -119.01  19:53:51.54  18:44:43.0   19.25  0.89   0
 1477  -9999999     79.29 -120.12  19:53:51.67  18:44:41.8   19.13  0.92  87
 1478  -9999999     74.17 -124.90  19:53:51.32  18:44:37.1   17.68  0.80  99
 1479  -9999999     69.82 -123.46  19:53:51.01  18:44:38.5   18.31  0.84   0
 1480  -9999999     61.39 -120.36  19:53:50.42  18:44:41.6   19.22  0.88  80
 1481  -9999999     65.59 -130.25  19:53:50.72  18:44:31.7   19.85  0.89  77
 1482  -9999999     51.76 -124.92  19:53:49.74  18:44:37.0   19.71  0.81   0
 1483  -9999999     47.89 -125.82  19:53:49.46  18:44:36.1   18.40  0.78  98
 1485  -9999999     57.44 -116.82  19:53:50.14  18:44:45.1   18.29  0.76  97
 1486  -9999999     44.08 -111.42  19:53:49.20  18:44:50.5   19.90  0.78   1
 1487  -9999999     36.88 -108.53  19:53:48.69  18:44:53.4   17.86  0.76  95
 1488  -9999999     42.27 -128.24  19:53:49.08  18:44:33.7   18.63  0.83  94
 1489  -9999999     34.34 -136.29  19:53:48.52  18:44:25.7   19.32  0.80  72
 1490  -9999999     33.33 -139.95  19:53:48.44  18:44:22.0   18.82  0.77  95
 1491  -9999999     29.64 -140.96  19:53:48.18  18:44:21.0   19.57  1.07   6
 1492  -9999999     28.61 -131.27  19:53:48.12  18:44:30.7   19.75  0.92  49
 1493  -9999999     27.03 -125.63  19:53:48.00  18:44:36.3   19.62  0.90  86
 1494  -9999999     22.58 -126.63  19:53:47.68  18:44:35.3   18.09  0.79  94
 1495  -9999999     18.96 -119.67  19:53:47.44  18:44:42.3   18.55  0.72  92
 1496  -9999999     19.04 -115.74  19:53:47.44  18:44:46.2   19.60  0.85  63
 1497  -9999999     16.66 -113.11  19:53:47.27  18:44:48.9   18.61  0.81  86
 1498  -9999999     17.87 -107.81  19:53:47.35  18:44:54.2   17.57  0.84  97
 1499  -9999999      3.89 -113.13  19:53:46.37  18:44:48.8   17.59  0.82  98
 1500  -9999999     -0.74 -112.89  19:53:46.04  18:44:49.1   18.76  0.79  98
 1501  -9999999     -4.39 -113.30  19:53:45.79  18:44:48.7   19.02  1.65   0
 1502  -9999999      1.91 -127.54  19:53:46.24  18:44:34.4   18.96  0.81  84
 1503  -9999999     -1.36 -135.78  19:53:45.99  18:44:26.2   19.55  1.07  21
 1504  -9999999     -4.83 -140.92  19:53:45.75  18:44:21.0   19.53  1.06  89
 1505  -9999999     -5.56 -134.98  19:53:45.71  18:44:27.0   18.27  0.71  91
 1506  -9999999     -5.24 -124.32  19:53:45.73  18:44:37.7   18.10  0.78  92
 1507  -9999999    -14.80 -122.04  19:53:45.05  18:44:39.9   18.14  0.77  99
 1508  -9999999    -18.02 -125.18  19:53:44.83  18:44:36.8   18.88  1.00  84
 1509  -9999999    -16.29 -131.41  19:53:44.95  18:44:30.6   18.96  0.82  92
 1510  -9999999    -16.21 -139.33  19:53:44.96  18:44:22.6   18.03  0.78   0
 1511  -9999999    -23.43 -140.26  19:53:44.44  18:44:21.7   18.36  0.75  97
 1512  -9999999    -23.86 -133.58  19:53:44.41  18:44:28.4   18.66  0.77  39
 1513  -9999999    -23.25 -130.54  19:53:44.46  18:44:31.4   19.15  0.81  84
 1514  -9999999    -22.18 -127.96  19:53:44.54  18:44:34.0   20.03  0.93  70
 1515  -9999999    -19.90 -121.24  19:53:44.69  18:44:40.7   19.27  0.88  96
 1516  -9999999    -22.01 -113.62  19:53:44.55  18:44:48.3   19.47  0.85  68
 1518  -9999999    -34.41 -108.54  19:53:43.67  18:44:53.4   19.49  0.97  67
 1519  -9999999    -36.79 -114.49  19:53:43.50  18:44:47.5   18.87  0.96  93
 1520  -9999999    -32.17 -126.09  19:53:43.83  18:44:35.9   19.04  0.81  95
 1521  -9999999    -31.21 -137.30  19:53:43.90  18:44:24.7   18.48  0.85  92
 1522  -9999999    -51.85 -129.18  19:53:42.44  18:44:32.8   19.43  1.07  10
 1523  -9999999    -57.31 -127.46  19:53:42.07  18:44:34.5   19.39  0.90  87
 1524  -9999999    -58.56 -120.71  19:53:41.97  18:44:41.2   18.53  0.82  75
 1525  -9999999    -51.07 -121.64  19:53:42.51  18:44:40.3   16.99  0.83   0
 1527  -9999999    -41.31 -111.12  19:53:43.19  18:44:50.8   19.07  0.86  96
 1528  -9999999    -45.86 -111.22  19:53:42.87  18:44:50.7   18.08  0.82  98
 1529  -9999999    -49.80 -110.27  19:53:42.59  18:44:51.7   18.44  0.79  95
 1530  -9999999    -40.65 -105.81  19:53:43.24  18:44:56.1   19.73  0.96  70
 1531  -9999999    -35.93 -102.67  19:53:43.56  18:44:59.3   17.66  1.01   0
 1532  -9999999    -63.99 -100.50  19:53:41.59  18:45:01.5   16.85  1.63   0
 1533  -9999999    -56.13 -103.93  19:53:42.14  18:44:58.0   19.53  0.96  88
 1535  -9999999    -70.04 -112.66  19:53:41.17  18:44:49.3   18.30  0.89   3
 1537  -9999999    -75.22 -115.86  19:53:40.80  18:44:46.1   17.42  1.15  63
 1538  -9999999    -75.83 -109.08  19:53:40.76  18:44:52.9   18.63  0.78  94
 1540  -9999999    -82.52  -99.94  19:53:40.29  18:45:02.0   17.15  0.93   0
 1546  -9999999    -74.39  -98.93  19:53:40.86  18:45:03.0   19.93  0.95  49
 1547  -9999999    -71.26  -91.63  19:53:41.08  18:45:10.3   19.34  0.83  16
 1548  -9999999    -70.76  -79.71  19:53:41.11  18:45:22.3   18.59  1.08   0
 1549  -9999999    -80.09  -84.01  19:53:40.46  18:45:17.9   19.60  0.92  84
 1550  -9999999    -88.77  -87.28  19:53:39.85  18:45:14.7   17.55  0.86   0
 1551  -9999999    -85.06  -90.78  19:53:40.12  18:45:11.2   18.90  0.81  97
 1552  -9999999    -92.81 -100.34  19:53:39.56  18:45:01.6   17.75  1.32   0
 1553  -9999999   -101.57  -88.43  19:53:38.94  18:45:13.5   19.33  0.95   0
 1554  -9999999    -98.92  -86.41  19:53:39.13  18:45:15.5   17.52  0.83  66
 1555  -9999999    -95.20  -84.92  19:53:39.40  18:45:17.0   19.22  0.99   0
 1556  -9999999    -98.43  -78.53  19:53:39.17  18:45:23.4   19.12  0.94  98
 1557  -9999999    -94.57  -76.31  19:53:39.44  18:45:25.6   18.05  0.79  97
 1558  -9999999    -92.03  -78.80  19:53:39.62  18:45:23.2   18.64  0.86  37
 1559  -9999999    -84.47  -76.28  19:53:40.15  18:45:25.7   16.76  1.16   0
 1560  -9999999    -83.35  -65.38  19:53:40.23  18:45:36.6   19.82  1.03  86
 1561  -9999999    -91.94  -68.99  19:53:39.63  18:45:33.0   19.22  0.89  86
 1562  -9999999    -93.15  -66.34  19:53:39.54  18:45:35.6   16.72  1.09  95
 1563  -9999999    -97.32  -61.75  19:53:39.24  18:45:40.2   19.67  0.94  61
 1564  -9999999    -97.10  -56.68  19:53:39.26  18:45:45.3   19.39  0.99  71
 1565  -9999999   -104.17  -58.40  19:53:38.76  18:45:43.6   17.37  1.04   0
 1566  -9999999   -103.23  -61.63  19:53:38.83  18:45:40.3   16.86  1.10  97
 1567  -9999999   -101.78  -82.21  19:53:38.94  18:45:19.7   17.56  0.84  98
 1568  -9999999   -106.41  -84.49  19:53:38.61  18:45:17.5   18.58  0.95   5
 1569  -9999999   -110.57  -86.07  19:53:38.32  18:45:15.9   18.86  0.86  87
 1570  -9999999   -110.46  -82.00  19:53:38.32  18:45:20.0   19.08  0.93  91
 1571  -9999999   -111.95  -80.14  19:53:38.21  18:45:21.8   17.95  0.79  80
 1572  -9999999   -111.48  -76.50  19:53:38.25  18:45:25.4   17.53  0.92   0
 1573  -9999999   -120.06  -61.89  19:53:37.64  18:45:40.1   17.69  0.85  98
 1574  -9999999   -114.80  -62.50  19:53:38.01  18:45:39.5   19.43  1.01  78
 1575  -9999999   -131.52  -52.95  19:53:36.84  18:45:49.0   19.27  0.85  64
 1577  -9999999   -110.37  -53.94  19:53:38.32  18:45:48.0   18.56  0.89  87
 1578  -9999999   -103.74  -55.27  19:53:38.79  18:45:46.7   19.45  0.90  20
 1579  -9999999   -111.55  -48.03  19:53:38.23  18:45:53.9   19.35  0.86  96
 1580  -9999999   -113.88  -44.83  19:53:38.08  18:45:57.1   19.39  0.96   0
 1581  -9999999   -114.15  -42.21  19:53:38.06  18:45:59.7   19.56  1.09  31
 1582  -9999999   -101.50  -34.54  19:53:38.95  18:46:07.4   19.20  0.90  93
 1583  -9999999   -107.14  -33.48  19:53:38.55  18:46:08.5   19.14  0.97  93
 1584  -9999999   -116.79  -30.64  19:53:37.87  18:46:11.3   19.55  1.08  65
 1585  -9999999   -119.98  -34.51  19:53:37.65  18:46:07.4   18.91  0.83  98
 1586  -9999999   -132.37  -47.29  19:53:36.78  18:45:54.7   18.01  0.89  97
 1587  -9999999   -130.20  -45.47  19:53:36.93  18:45:56.5   19.04  1.11  52
 1588  -9999999   -131.92  -43.78  19:53:36.81  18:45:58.2   18.66  1.14  91
 1589  -9999999   -133.16  -39.73  19:53:36.72  18:46:02.2   19.53  0.70  87
 1590  -9999999   -130.10  -29.67  19:53:36.93  18:46:12.3   19.43  0.97  35
 1593  -9999999   -142.93  -12.62  19:53:36.04  18:46:29.3   18.57  0.89   0
 1594  -9999999   -135.76  -13.15  19:53:36.53  18:46:28.8   19.12  0.88  95
 1595  -9999999   -137.19   -9.97  19:53:36.44  18:46:32.0   19.80  0.90  92
 1596  -9999999   -131.91   -8.96  19:53:36.81  18:46:33.0   18.29  0.85  98
 1599  -9999999   -123.71   -9.97  19:53:37.38  18:46:32.0   17.91  1.04   4
 1600  -9999999   -142.25   -1.65  19:53:36.08  18:46:40.3   17.57  0.95  97
 1601  -9999999   -136.10   -2.11  19:53:36.51  18:46:39.8   18.32  0.80  98
 1602  -9999999   -130.56   -3.21  19:53:36.90  18:46:38.7   18.74  0.82  97
 1603  -9999999   -116.87   -7.98  19:53:37.87  18:46:34.0   18.72  0.99  91
 1604  -9999999   -113.45   -6.78  19:53:38.11  18:46:35.2   16.83  0.87  83
 1605  -9999999   -115.43   -3.07  19:53:37.97  18:46:38.9   17.95  0.81  97
 1606  -9999999   -123.73    2.14  19:53:37.38  18:46:44.1   19.76  1.03  85
 1608  -9999999   -118.34    8.52  19:53:37.76  18:46:50.5   18.85  0.97  96
 1609  -9999999   -121.45   11.12  19:53:37.55  18:46:53.1   19.14  0.79  32
 1610  -9999999   -127.69    7.95  19:53:37.11  18:46:49.9   18.06  0.94  97
 1617  -9999999   -131.39    1.09  19:53:36.85  18:46:43.0   17.55  0.89  95
 1618  -9999999   -143.24    2.57  19:53:36.01  18:46:44.5   18.29  0.75  95
 1619  -9999999   -141.99   10.49  19:53:36.10  18:46:52.4   19.29  0.91  92
 1621  -9999999   -141.92   25.44  19:53:36.11  18:47:07.4   17.97  0.83  97
 1622  -9999999   -130.01   17.37  19:53:36.94  18:46:59.3   19.00  0.90  92
 1623  -9999999   -117.53   17.46  19:53:37.82  18:46:59.4   18.04  0.79  98
 1624  -9999999   -120.96   21.48  19:53:37.58  18:47:03.4   18.84  0.79  97
 1625  -9999999   -112.22   21.41  19:53:38.20  18:47:03.4   19.39  0.89  94
 1626  -9999999   -118.42   22.58  19:53:37.75  18:47:04.5   19.42  0.99  84
 1627  -9999999   -116.16   31.36  19:53:37.92  18:47:13.3   18.61  0.84  91
 1628  -9999999   -123.06   30.86  19:53:37.42  18:47:12.8   17.82  0.88  96
 1629  -9999999   -124.08   25.28  19:53:37.36  18:47:07.2   19.29  0.94  76
 1630  -9999999   -133.73   35.19  19:53:36.68  18:47:17.1   18.13  0.81  69
 1631  -9999999   -137.59   42.10  19:53:36.40  18:47:24.1   19.63  0.90   0
 1632  -9999999   -138.54   44.84  19:53:36.34  18:47:26.8   17.87  1.01   0
 1633  -9999999   -141.38   44.44  19:53:36.15  18:47:26.4   17.28  1.01  97
 1634  -9999999   -106.80   37.70  19:53:38.57  18:47:19.7   19.39  1.13  91
 1635  -9999999   -104.85   40.84  19:53:38.72  18:47:22.8   18.58  0.82   5
 1636  -9999999   -102.53   51.85  19:53:38.88  18:47:33.8   19.10  0.87  94
 1637  -9999999   -100.92   54.51  19:53:38.99  18:47:36.5   19.26  0.89   0
 1638  -9999999   -102.84   56.73  19:53:38.85  18:47:38.7   18.98  0.98  94
 1639  -9999999   -112.98   60.60  19:53:38.15  18:47:42.6   17.00  0.75  95
 1640  -9999999   -134.14   55.47  19:53:36.66  18:47:37.4   18.03  0.86  62
 1641  -9999999   -128.22   57.59  19:53:37.07  18:47:39.5   18.44  0.79  98
 1642  -9999999   -125.64   61.55  19:53:37.25  18:47:43.5   18.56  0.82  98
 1643  -9999999   -118.71   66.69  19:53:37.74  18:47:48.6   18.49  1.01   0
 1644  -9999999   -106.44   65.76  19:53:38.61  18:47:47.7   19.66  0.92  92
 1645  -9999999   -123.53   76.23  19:53:37.40  18:47:58.2   18.62  1.03   0
 1646  -9999999   -121.21   76.15  19:53:37.56  18:47:58.1   19.51  0.99  90
 1647  -9999999   -117.27   76.18  19:53:37.84  18:47:58.1   17.84  0.90   0
 1648  -9999999   -110.68   81.41  19:53:38.30  18:48:03.4   17.51  0.93  93
 1649  -9999999   -107.16   82.45  19:53:38.55  18:48:04.4   18.68  0.83  94
 1650  -9999999    -92.66   71.02  19:53:39.57  18:47:53.0   18.97  0.91   0
 1651  -9999999    -96.73   79.50  19:53:39.29  18:48:01.5   17.84  0.78  96
 1652  -9999999    -93.27   77.78  19:53:39.53  18:47:59.7   18.10  0.87  47
 1653  -9999999    -82.21   84.17  19:53:40.31  18:48:06.1   19.37  0.91  95
 1654  -9999999    -88.12   88.75  19:53:39.90  18:48:10.7   19.64  0.91  13
 1655  -9999999    -92.13   91.86  19:53:39.61  18:48:13.8   18.84  0.97  15
 1656  -9999999    -98.65   91.02  19:53:39.14  18:48:13.0   19.78  0.96  42
 1657  -9999999   -112.09   90.47  19:53:38.20  18:48:12.4   18.53  0.98   0
 1658  -9999999   -106.83   92.89  19:53:38.57  18:48:14.8   18.16  0.84  90
 1659  -9999999   -107.95   96.88  19:53:38.50  18:48:18.8   19.47  0.90  57
 1660  -9999999   -105.34   97.86  19:53:38.68  18:48:19.8   19.00  0.84  85
 1661  -9999999   -103.64  100.68  19:53:38.80  18:48:22.6   19.32  0.92   1
 1662  -9999999   -100.13   99.45  19:53:39.05  18:48:21.4   19.12  0.87  75
 1663  -9999999    -93.44   95.73  19:53:39.51  18:48:17.7   18.91  0.86  95
 1664  -9999999    -83.74   94.27  19:53:40.20  18:48:16.2   19.40  1.03  80
 1666  -9999999    -78.08   94.16  19:53:40.60  18:48:16.1   18.37  0.86  99
 1667  -9999999    -82.06  102.24  19:53:40.32  18:48:24.2   18.88  0.97  95
 1668  -9999999    138.46   91.89  19:53:55.85  18:48:13.8   17.68  0.77  88
 1669  -9999999    144.90   88.96  19:53:56.30  18:48:10.9   17.26  1.28   0
 1670  -9999999    142.01   81.82  19:53:56.09  18:48:03.8   16.77  0.86   0
 1671  -9999999    148.26   80.48  19:53:56.53  18:48:02.4   18.23  0.80  84
 1672  -9999999    148.84   77.38  19:53:56.58  18:47:59.3   18.19  0.80  97
 1673  -9999999    148.02   72.39  19:53:56.52  18:47:54.3   19.25  0.87  50
 1674  -9999999    153.53   76.25  19:53:56.91  18:47:58.2   18.84  0.80  85
 1675  -9999999    158.40   79.42  19:53:57.25  18:48:01.4   19.48  0.89  86
 1676  -9999999    155.52   82.68  19:53:57.05  18:48:04.6   17.50  1.12   0
 1677  -9999999    151.85   87.81  19:53:56.79  18:48:09.8   18.91  0.78  95
 1678  -9999999    155.90   90.29  19:53:57.08  18:48:12.2   18.09  0.75  94
 1679  -9999999    160.40   93.02  19:53:57.39  18:48:15.0   18.66  0.92   2
