ID,Year,Config,AP,V_kud,BV_kud,Obs_RV,Hel_RV,High_Res_RV,ID_kud,RA,Dec,X,Y,Prob,2MASS,r_2mass,RA_2mass,Dec_2mass,J,Jerr,H,Herr,K,Kerr,IR_Flags,RA_deg,Dec_deg,EBV,Mv,Teff_BV,Teff_VK,Teff_JK,logg,logg_bv,Teff_Final,Logg_Final,Teff_Avg,Logg_Avg,Duplicated,idcombined,hcn,cn41,hwch,hcn_noscale,cn41_noscale,hwch_noscale,Branch,ofe,ofe_flag,nafe,nafe_flag,Teff_Cord,Teff_Ram,logg_Ram,cfe_avgofe,nfe_avgofe,cfe_cn41_avgofe,nfe_cn41_avgofe,[C/Fe],[N/Fe],Fit_x,[C/Fe]_cn41,[N/Fe]_cn41,Fit_y,[C/Fe]_cratio50,[N/Fe]_cratio50,Fit_cratio50,dis,m275,m336,m438,r_hst,deltahcn,deltacn41,deltahwch
KC-251,2014,br2,9.0,15.28,1.16,-107.3524,-109.7033,99.0,251,19:53:49.05,18:46:46.1,41.9,4.17,93,19534905+1846461,0.076,19:53:49.051,+18:46:46.17,13.204,0.025,12.664,0.038,12.559,0.028,AAA,298.454375,18.7794722222,0.28,1.552,4839.200083,4997.54587,5047.53074,2.903749,2.826266,4997.54587,2.903749,4918.3729765,2.8650075,False,251_br2_2014,-0.625,-0.069,0.142,-0.538,-0.02,0.211,0,99.999,none,99.999,none,-99.999,-99.999,-99.999,-1.462842,-1.403841,-0.953125,-0.291667,-1.32207,-1.607552,0.04701,-1.15625,-0.808333,0.174485,-1.32207,-1.607552,0.047,0.0101026836772,19.663,17.218,16.559,3.48719000456e-06,-0.672371594641,-0.198960511131,-0.171131556917
KC-27,2014,br2,16.0,14.1,1.19,-21.0806,-23.4316,-26.4,27,19:54:02.55,18:45:43.4,233.65,-58.51,82,19540255+1845434,0.093,19:54:02.556,+18:45:43.44,11.947,0.033,11.334,0.029,11.316,0.024,AAA,298.510625,18.7620555556,0.3,0.31,4821.253511,4975.524467,5133.02585,2.396539,2.320272,4975.524467,2.396539,4898.388989,2.3584055,False,27_br2_2014,-0.014,0.106,0.34,0.19,0.176,0.462,1,99.999,none,99.999,none,-99.999,-99.999,-99.999,-0.200253,0.688352,-0.200362,0.78034,-0.078684,0.688117,0.002,-0.207025,0.413297,0.001,-0.065881,0.746358,0.002236,0.0656348770425,99.999,99.999,99.999,99.999,-0.0766487525442,-0.00597271538225,0.0252188724254
KC-155,2014,br2,26.0,14.89,1.16,-19.1629,-21.5138,-24.4,155,19:53:44.97,18:43:45.2,-15.97,-176.77,96,19534497+1843452,0.095,19:53:44.976,+18:43:45.22,12.792,0.051,12.181,0.046,12.104,0.037,AAA,298.437375,18.7292222222,0.27,1.193,4821.253511,4903.340116,4879.461406,2.71481,2.673472,4903.340116,2.71481,4862.2968135,2.694141,False,155_br2_2014,0.3,0.267,0.294,0.52,0.346,0.413,0,99.999,none,99.999,none,-99.999,-99.999,-99.999,-0.383278,1.327467,-0.379851,1.551446,-0.325677,1.309113,0.003162,-0.430554,1.410824,0.002,-0.320478,1.528141,0.00141,0.0503307368722,99.999,99.999,99.999,99.999,0.188232832959,0.153043172016,-0.0258177684387
1-3,2014,br2,31.0,14.38,1.2,-18.2325,-20.5834,-24.2,159,19:53:46.73,18:45:00.5,8.96,-101.42,96,19534672+1845005,0.093,19:53:46.728,+18:45:00.59,12.199,0.03,11.507,0.035,11.438,0.02,AAA,298.444708333,18.7501388889,0.26,0.714,4733.534672,4720.306805,4632.984076,2.428384,2.435574,4720.306805,2.428384,4726.9207385,2.431979,False,159_br2_2014,0.009,0.12,0.357,0.235,0.201,0.494,0,0.62,cord,0.34,cord,4870.0,-99.999,-99.999,-0.237785,0.637814,-0.23597,0.70957,-0.058417,0.69353,0.002,-0.151237,0.343725,0.001,-0.043746,0.765829,0.003,0.0290709357685,99.999,99.999,99.999,99.999,-0.211771720192,-0.027506809261,0.0266064761954
KC-197,2014,br2,32.0,15.28,1.04,-20.8149,-23.1658,-23.521,197,19:53:52.06,18:48:08.8,84.73,86.82,87,19535206+1848087,0.124,19:53:52.068,+18:48:08.74,13.248,0.063,12.666,0.073,12.628,0.057,AAA,298.466916667,18.8024444444,0.28,1.552,5118.027292,5075.209442,5142.380534,2.939606,2.958835,5075.209442,2.939606,5096.618367,2.9492205,False,197_br2_2014,0.124,0.191,0.274,0.341,0.275,0.401,0,99.999,none,99.999,none,-99.999,-99.999,-99.999,-0.377342,1.177805,-0.379113,1.436355,-0.272231,1.170648,0.003,-0.387616,1.249284,0.001414,-0.261507,1.275303,0.00316,0.0319891567827,99.999,99.999,99.999,99.999,0.130730149798,0.105446628648,-0.032856811269
KC-274,2014,br2,37.0,15.21,1.15,-16.9767,-19.3276,-20.955,274,19:53:46.43,18:46:52.1,4.63,10.1,96,19534642+1846521,0.066,19:53:46.425,+18:46:52.10,13.152,0.046,12.515,0.05,12.478,0.052,AAA,298.443458333,18.7811388889,0.28,1.482,4857.284531,4985.774412,4942.788968,2.870198,2.80744,4985.774412,2.870198,4921.5294715,2.838819,False,274_br2_2014,-0.136,0.087,0.335,0.073,0.156,0.459,0,99.999,none,99.999,none,-99.999,-99.999,-99.999,-0.188103,0.520502,-0.188253,0.518566,-0.08076,0.54973,0.001,-0.19613,0.058895,0.001,-0.069017,0.588513,0.00223,0.00195883749876,19.449,17.064,16.438,2.46450605609e-05,-0.191548316261,-0.0245512634514,0.0209798293796
KC-22,2014,br2,38.0,13.93,1.37,-20.9343,-23.2852,-24.63,22,19:53:39.18,18:44:03.0,-98.17,-158.98,94,19533918+1844030,0.118,19:53:39.188,+18:44:03.04,11.375,0.03,10.64,0.029,10.544,0.018,AAA,298.41325,18.7341666667,0.29,0.171,4504.51093,4398.163402,4470.229601,2.017248,2.085939,4398.163402,2.017248,4451.337166,2.0515935,True,22_br2_2014,0.092,0.156,0.371,0.294,0.226,0.493,0,0.56,cord,0.15,cord,4405.0,-99.999,-99.999,-0.300357,0.875249,-0.302571,0.837253,-0.171481,0.900667,0.004123,-0.240609,0.180974,0.0,-0.160405,0.897894,0.001414,0.0534722825958,99.999,99.999,99.999,99.999,-0.20348004191,-0.0861137497683,0.0274394737048
KC-222,2014,br2,42.0,14.99,1.23,-21.9508,-24.3018,-22.491,222,19:53:42.53,18:46:42.6,-50.65,0.67,93,19534253+1846426,0.088,19:53:42.534,+18:46:42.66,12.961,0.055,12.353,0.047,12.283,0.038,EEA,298.427208333,18.7785,0.29,1.231,4733.534672,5038.167563,4943.818544,2.794266,2.642374,4733.534672,2.642374,4733.534672,2.642374,False,222_br2_2014,0.314,0.255,0.308,0.522,0.329,0.422,0,99.999,none,99.999,none,-99.999,-99.999,-99.999,-0.412841,1.399714,-0.400839,1.538598,-0.372317,1.328519,0.001,-0.467471,1.311261,0.0,-0.361417,1.590673,0.001,0.0156370690894,19.173,17.014,16.282,5.91730048635e-06,0.0999776479971,0.103421301869,-0.021720426101
1-102,2014,br2,43.0,14.33,1.09,-16.6974,-19.0483,-21.393,96,19:53:44.95,18:46:22.9,-16.32,-19.07,71,19534495+1846228,0.016,19:53:44.951,+18:46:22.89,12.312,0.09,11.758,0.075,11.704,0.068,AAA,298.437291667,18.7730277778,0.28,0.602,4968.777614,5105.036062,5189.496321,2.57304,2.510127,5105.036062,2.57304,5036.906838,2.5415835,False,96_br2_2014,-0.054,0.095,0.319,0.163,0.168,0.44,2,99.999,none,99.999,none,-99.999,-99.999,-99.999,-0.171976,0.727974,-0.172407,0.718791,-0.040817,0.74304,0.002236,-0.17372,0.351948,0.002236,-0.031187,0.790458,0.001,0.00865649081078,18.139,16.022,15.47,4.10926386024e-06,-0.0266545590951,0.0015768247272,0.0147528807896
1-21,2014,br2,54.0,13.02,1.49,-21.5278,-23.8787,-21.2,98,19:53:47.50,18:46:17.0,19.99,-25.0,97,19534750+1846169,0.131,19:53:47.509,+18:46:16.99,10.452,0.035,9.698,0.036,9.588,0.025,AAA,298.447916667,18.7713888889,0.28,-0.708,4311.357678,4349.155721,4371.751029,1.632512,1.60623,4349.155721,1.632512,4330.2566995,1.619371,False,98_br2_2014,0.132,0.197,0.362,0.366,0.291,0.51,1,0.43,cord,0.06,cord,4400.0,-99.999,-99.999,-0.447232,1.071721,-0.444705,1.030188,-0.385757,1.052942,0.002828,-0.458896,0.584316,0.001414,-0.385757,1.052942,0.002828,0.00876365788115,19.18,15.918,14.57,4.66710487784e-05,-0.156089496302,-0.0347044007152,0.0168909086505
